NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_PROVA,TP_SEXO_DESC,TP_COR_RACA_DESC,TP_ESCOLA_DESC,Q006,Q006_RENDA_DESC,GRUPO_RENDA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_GERAL
210058231139,2023,Curitiba,Feminino,Branca,Privada,K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),560.0,594.4,610.6,436.3,840.0,608.26
210060629828,2023,Curitiba,Feminino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),511.4,598.8,543.2,458.7,520.0,526.42
210059001945,2023,Curitiba,Masculino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),527.2,482.8,458.9,434.1,360.0,452.6
210059815567,2023,Curitiba,Masculino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),664.8,693.9,672.7,833.8,700.0,713.04
210060589311,2023,Curitiba,Masculino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),564.9,540.4,567.5,559.9,880.0,622.54
210058240974,2023,Curitiba,Feminino,Branca,Não informado (Egresso),M,M - De 9 a 10 SM,Alta Renda (Acima de R$ 6.060),751.8,750.5,667.5,903.3,940.0,802.62
210060589295,2023,Curitiba,Feminino,Branca,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),477.8,521.9,536.3,624.4,780.0,588.08
210060544061,2023,Curitiba,Masculino,Branca,Privada,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),494.0,590.0,541.1,401.9,460.0,497.4
210058219980,2023,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),680.2,593.4,668.5,693.9,960.0,719.2
210058683209,2023,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),332.9,431.8,415.3,391.6,500.0,414.32
210058771885,2023,Curitiba,Feminino,Branca,Privada,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),519.7,538.6,601.6,451.8,940.0,610.34
210059988950,2023,Curitiba,Masculino,Branca,Privada,L,L - De 8 a 9 SM,Alta Renda (Acima de R$ 6.060),563.9,563.6,582.6,756.9,720.0,637.4
210058793669,2023,Curitiba,Feminino,Parda,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),541.5,603.6,569.2,560.9,600.0,575.04
210058688437,2023,Curitiba,Masculino,Branca,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),599.9,617.3,597.0,605.6,920.0,667.96
