NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_PROVA,TP_SEXO_DESC,TP_COR_RACA_DESC,TP_ESCOLA_DESC,Q006,Q006_RENDA_DESC,GRUPO_RENDA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_GERAL
210055278087,2022,Curitiba,Feminino,Branca,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),544.1,519.9,486.1,590.4,640.0,556.1
210055565552,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),509.7,555.6,562.2,550.2,580.0,551.54
210055695328,2022,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),560.2,579.6,617.2,557.0,560.0,574.8
210055029252,2022,Curitiba,Feminino,Branca,Pública,K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),516.3,527.9,586.5,683.7,720.0,606.88
210055497557,2022,Curitiba,Feminino,Parda,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),481.9,536.7,498.6,521.9,560.0,519.82
210055510745,2022,Curitiba,Masculino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),433.5,535.5,485.8,512.8,420.0,477.52
210054761121,2022,Curitiba,Masculino,Branca,Pública,K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),402.0,574.7,570.2,535.6,540.0,524.5
210057728074,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),598.7,608.7,578.0,470.5,600.0,571.18
210056266092,2022,Curitiba,Feminino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),455.8,443.4,491.4,542.7,500.0,486.66
210055355342,2022,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),461.9,482.2,464.1,578.9,580.0,513.42
210054947685,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),385.6,439.7,430.8,448.5,440.0,428.92
210056643953,2022,Curitiba,Masculino,Branca,Não informado (Egresso),G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),516.7,462.7,452.8,524.1,580.0,507.26
210055514777,2022,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),511.9,507.0,502.1,525.4,460.0,501.28
210055485668,2022,Curitiba,Feminino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),514.2,536.5,591.9,551.1,800.0,598.74
210057735542,2022,Curitiba,Feminino,Preta,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),389.9,371.3,514.5,463.3,480.0,443.8
210057164313,2022,Curitiba,Feminino,Branca,Não informado (Egresso),K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),632.1,673.4,596.0,645.3,900.0,689.36
210055141101,2022,Curitiba,Feminino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),504.5,583.7,537.4,454.9,740.0,564.1
210055331775,2022,Curitiba,Feminino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),460.5,498.1,355.8,497.8,440.0,450.44
210057325983,2022,Curitiba,Feminino,Branca,Pública,H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),474.5,528.3,496.3,406.1,560.0,493.04
210055637953,2022,Curitiba,Feminino,Parda,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),509.8,532.2,514.0,603.9,800.0,591.98
210054581611,2022,Curitiba,Masculino,Branca,Não informado (Egresso),A,A - Nenhuma Renda,Baixa Renda (Até R$ 2.424),456.1,621.4,605.7,350.6,460.0,498.76
210056514677,2022,Curitiba,Masculino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),455.6,569.6,570.2,519.9,860.0,595.06
210055552879,2022,Curitiba,Feminino,Parda,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),454.2,550.3,413.3,414.0,520.0,470.36
210055513780,2022,Curitiba,Feminino,Preta,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),605.4,633.4,607.3,524.3,640.0,602.08
210055494027,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),509.1,606.0,586.3,505.5,660.0,573.38
210055359458,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),419.2,480.2,543.0,489.5,460.0,478.38
210055350192,2022,Curitiba,Masculino,Parda,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),539.8,482.3,554.7,595.8,860.0,606.52
210057976369,2022,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),517.2,590.8,542.7,718.7,900.0,653.88
210054534833,2022,Curitiba,Masculino,Parda,Não informado (Egresso),A,A - Nenhuma Renda,Baixa Renda (Até R$ 2.424),412.7,499.5,454.3,397.6,480.0,448.82
210055672489,2022,Curitiba,Feminino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),401.0,528.8,480.9,474.2,700.0,516.98
210056614656,2022,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),556.8,564.4,539.5,639.3,620.0,584.0
210057677584,2022,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),444.7,526.6,480.3,443.0,560.0,490.92
210054510002,2022,Curitiba,Masculino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),507.0,544.8,502.5,647.6,560.0,552.38
210057800790,2022,Curitiba,Masculino,Não declarado,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),530.7,602.9,613.9,643.3,620.0,602.16
210054558433,2022,Curitiba,Masculino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),691.7,706.7,634.7,786.5,940.0,751.92
210055569077,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),444.4,486.1,495.2,466.5,640.0,506.44
210057345101,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),366.1,421.8,514.6,513.3,580.0,479.16
210057255551,2022,Curitiba,Feminino,Branca,Não informado (Egresso),I,I - De 5 a 6 SM,Alta Renda (Acima de R$ 6.060),532.2,585.2,589.8,720.5,920.0,669.54
210055695805,2022,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),445.8,445.9,454.2,388.3,500.0,446.84
210055382797,2022,Curitiba,Feminino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),495.2,599.3,625.1,493.5,580.0,558.62
210055028050,2022,Curitiba,Feminino,Parda,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),594.7,677.3,652.9,694.6,760.0,675.9
210057372125,2022,Curitiba,Feminino,Branca,Não informado (Egresso),A,A - Nenhuma Renda,Baixa Renda (Até R$ 2.424),447.2,494.1,396.9,384.4,480.0,440.52
210055584959,2022,Curitiba,Feminino,Branca,Não informado (Egresso),G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),429.3,528.5,546.4,476.0,500.0,496.04
210055167476,2022,Curitiba,Masculino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),393.2,534.7,545.8,491.1,620.0,516.96
210057280092,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),550.2,582.4,565.1,468.6,860.0,605.26
210055494145,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),524.4,539.0,491.7,476.4,600.0,526.3
210055727905,2022,Curitiba,Feminino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),461.5,536.5,482.2,473.4,720.0,534.72
210055346939,2022,Curitiba,Feminino,Não declarado,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),448.4,549.6,548.5,565.0,720.0,566.3
210057803271,2022,Curitiba,Feminino,Branca,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),473.2,553.0,537.1,528.3,660.0,550.32
210057738070,2022,Curitiba,Feminino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),474.0,498.5,612.1,541.8,560.0,537.28
210055613715,2022,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),419.1,564.0,550.0,596.5,720.0,569.92
210055619066,2022,Curitiba,Masculino,Branca,Pública,H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),495.3,415.3,488.6,394.5,560.0,470.74
210055450196,2022,Curitiba,Feminino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),558.5,508.7,564.5,538.7,780.0,590.08
210056527334,2022,Curitiba,Masculino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),395.0,319.9,320.9,544.6,420.0,400.08
210055306609,2022,Curitiba,Feminino,Branca,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),499.0,554.2,645.3,577.2,580.0,571.14
210054616176,2022,Curitiba,Feminino,Parda,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),430.3,495.3,525.3,547.6,640.0,527.7
210056878714,2022,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),401.9,492.7,531.4,488.2,600.0,502.84
210057158565,2022,Curitiba,Masculino,Parda,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),546.0,605.4,498.4,508.5,520.0,535.66
210055041142,2022,Curitiba,Feminino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),428.5,505.2,358.1,385.8,0.0,335.52
210057354833,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),438.4,347.3,527.7,428.3,720.0,492.34
210057821379,2022,Curitiba,Feminino,Não declarado,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),462.1,671.7,663.1,563.4,640.0,600.06
210057817477,2022,Curitiba,Feminino,Branca,Não informado (Egresso),J,J - De 6 a 7 SM,Alta Renda (Acima de R$ 6.060),588.5,591.4,635.4,747.1,800.0,672.48
210055175632,2022,Curitiba,Feminino,Branca,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),627.0,645.8,672.8,488.6,660.0,618.84
210055525471,2022,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),472.0,519.4,487.7,517.0,560.0,511.22
210057242554,2022,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),394.3,579.3,558.8,526.1,620.0,535.7
210056673408,2022,Curitiba,Masculino,Preta,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),541.4,463.5,280.7,346.7,380.0,402.46
210055696671,2022,Curitiba,Feminino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),495.8,498.3,543.1,452.4,0.0,397.92
210056866542,2022,Curitiba,Feminino,Branca,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),494.9,520.5,450.7,563.2,820.0,569.86
210055241137,2022,Curitiba,Feminino,Branca,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),454.7,566.8,574.6,574.2,680.0,570.06
210055528292,2022,Curitiba,Feminino,Parda,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),425.9,515.1,486.5,546.1,660.0,526.72
210055472800,2022,Curitiba,Masculino,Branca,Não informado (Egresso),A,A - Nenhuma Renda,Baixa Renda (Até R$ 2.424),605.8,453.8,449.5,693.4,840.0,608.5
210057556332,2022,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),508.3,494.6,337.1,468.8,460.0,453.76
210055386993,2022,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),549.9,626.2,577.0,558.7,680.0,598.36
210055710322,2022,Curitiba,Feminino,Branca,Não informado (Egresso),G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),539.0,490.4,453.9,370.1,640.0,498.68
210055241903,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),553.7,511.3,506.4,599.8,680.0,570.24
210054708894,2022,Curitiba,Feminino,Amarela,Privada,O,O - De 12 a 15 SM,Alta Renda (Acima de R$ 6.060),607.1,603.2,592.5,688.7,880.0,674.3
210054787040,2022,Curitiba,Feminino,Branca,Não informado (Egresso),G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),455.9,519.1,536.7,442.8,520.0,494.9
210055563090,2022,Curitiba,Feminino,Branca,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),602.1,647.1,586.0,669.7,800.0,660.98
210057810338,2022,Curitiba,Masculino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),567.2,634.1,600.6,619.9,500.0,584.36
210055562848,2022,Curitiba,Masculino,Branca,Não informado (Egresso),J,J - De 6 a 7 SM,Alta Renda (Acima de R$ 6.060),500.0,464.7,494.2,608.0,540.0,521.38
210055396830,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),643.4,620.5,654.3,668.9,780.0,673.42
210055698558,2022,Curitiba,Masculino,Não declarado,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),455.1,553.5,487.0,593.4,480.0,513.8
210055447230,2022,Curitiba,Feminino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),409.6,525.6,456.4,495.9,580.0,493.5
210057802012,2022,Curitiba,Feminino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),628.4,619.2,558.3,534.9,880.0,644.16
210055685099,2022,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),534.7,535.6,546.1,547.1,780.0,588.7
210056663876,2022,Curitiba,Masculino,Branca,Não informado (Egresso),Q,Q - Mais de 20 SM,Alta Renda (Acima de R$ 6.060),449.3,619.4,597.8,700.5,780.0,629.4
210054512299,2022,Curitiba,Feminino,Amarela,Não informado (Egresso),K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),512.6,519.4,628.4,690.8,840.0,638.24
210056254319,2022,Curitiba,Masculino,Não declarado,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),597.1,609.1,623.5,456.5,680.0,593.24
210057551897,2022,Curitiba,Feminino,Parda,Não informado (Egresso),G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),507.3,451.8,490.9,581.0,600.0,526.2
210057362877,2022,Curitiba,Masculino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),444.3,461.1,441.9,376.9,500.0,444.84
210055463885,2022,Curitiba,Masculino,Não declarado,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),418.0,497.1,490.9,476.8,620.0,500.56
210055620283,2022,Curitiba,Feminino,Branca,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),558.6,561.1,545.3,460.3,680.0,561.06
210055568875,2022,Curitiba,Masculino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),427.3,514.9,545.0,591.4,620.0,539.72
210056883301,2022,Curitiba,Masculino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),420.5,513.8,518.8,449.1,500.0,480.44
210055424945,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),593.9,522.1,594.5,489.8,680.0,576.06
210055973972,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),485.0,557.5,521.7,585.8,540.0,538.0
210054656158,2022,Curitiba,Masculino,Não declarado,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),546.4,597.9,565.3,539.4,600.0,569.8
210055683838,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),423.8,540.6,515.5,375.7,580.0,487.12
210056912950,2022,Curitiba,Feminino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),480.4,558.3,539.4,522.7,380.0,496.16
210056765823,2022,Curitiba,Masculino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),557.0,607.9,576.6,638.0,560.0,587.9
210055449771,2022,Curitiba,Masculino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),476.4,432.1,499.0,545.3,520.0,494.56
210055584955,2022,Curitiba,Feminino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),416.6,497.9,591.5,496.9,560.0,512.58
210057586821,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),554.3,647.4,567.9,686.8,860.0,663.28
210057737054,2022,Curitiba,Masculino,Parda,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),523.7,580.4,601.7,523.4,660.0,577.84
210057749553,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),511.2,531.2,488.9,515.8,560.0,521.42
210056646674,2022,Curitiba,Feminino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),547.5,521.7,579.3,444.3,720.0,562.56
210057769722,2022,Curitiba,Masculino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),435.0,544.9,538.4,586.6,620.0,544.98
210056544921,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),513.0,616.8,562.6,382.6,560.0,527.0
210056970044,2022,Curitiba,Masculino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),592.9,622.0,547.8,543.6,480.0,557.26
210055339118,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),536.9,597.8,603.3,561.0,840.0,627.8
210057217306,2022,Curitiba,Feminino,Parda,Não informado (Egresso),P,P - De 15 a 20 SM,Alta Renda (Acima de R$ 6.060),499.0,598.3,564.5,586.0,480.0,545.56
210054651005,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),0.0,0.0,0.0,0.0,500.0,100.0
210057710250,2022,Curitiba,Masculino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),439.4,534.2,534.5,605.2,840.0,590.66
210054790557,2022,Curitiba,Feminino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),383.7,566.5,552.1,462.4,400.0,472.94
210054538462,2022,Curitiba,Masculino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),538.4,482.3,485.7,542.4,440.0,497.76
210055923252,2022,Curitiba,Masculino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),547.1,550.8,536.8,637.3,560.0,566.4
210057756188,2022,Curitiba,Feminino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),456.7,512.6,512.0,451.8,740.0,534.62
210056828072,2022,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),517.5,622.9,594.6,622.3,980.0,667.46
210054996501,2022,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),507.9,584.1,627.2,620.9,820.0,632.02
210055506914,2022,Curitiba,Masculino,Parda,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),530.2,510.5,495.5,581.2,640.0,551.48
210057694239,2022,Curitiba,Feminino,Parda,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),595.0,464.4,484.2,640.4,720.0,580.8
210056368122,2022,Curitiba,Feminino,Branca,Não informado (Egresso),A,A - Nenhuma Renda,Baixa Renda (Até R$ 2.424),417.2,505.6,465.9,558.0,560.0,501.34
210057785032,2022,Curitiba,Masculino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),626.0,631.8,584.4,594.5,920.0,671.34
210055083146,2022,Curitiba,Feminino,Branca,Privada,I,I - De 5 a 6 SM,Alta Renda (Acima de R$ 6.060),595.8,634.9,594.4,726.4,760.0,662.3
210056925201,2022,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),486.4,472.7,518.1,363.0,620.0,492.04
210057816682,2022,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),512.5,493.6,490.3,478.2,640.0,522.92
210054511644,2022,Curitiba,Masculino,Preta,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),494.0,505.7,499.2,558.3,540.0,519.44
210055434495,2022,Curitiba,Masculino,Preta,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),482.0,594.8,424.1,436.0,540.0,495.38
210055470279,2022,Curitiba,Masculino,Parda,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),583.7,607.5,578.4,637.4,560.0,593.4
210055443553,2022,Curitiba,Feminino,Parda,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),413.8,523.7,521.2,575.0,740.0,554.74
210056628680,2022,Curitiba,Masculino,Parda,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),617.6,637.1,594.5,640.4,860.0,669.92
210056687887,2022,Curitiba,Feminino,Parda,Não informado (Egresso),K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),651.6,645.5,631.4,790.3,760.0,695.76
210057807702,2022,Curitiba,Masculino,Parda,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),628.2,645.0,545.3,745.6,740.0,660.82
210057297691,2022,Curitiba,Feminino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),544.3,534.9,536.2,620.6,740.0,595.2
210055413752,2022,Curitiba,Feminino,Branca,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),438.9,496.3,539.2,554.1,600.0,525.7
210057803115,2022,Curitiba,Masculino,Branca,Pública,J,J - De 6 a 7 SM,Alta Renda (Acima de R$ 6.060),565.4,680.7,617.7,670.1,640.0,634.78
210055520615,2022,Curitiba,Feminino,Parda,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),458.3,480.1,484.1,422.6,560.0,481.02
210055078324,2022,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),383.4,570.0,541.8,423.3,360.0,455.7
210056921729,2022,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),403.7,503.7,492.5,505.2,580.0,497.02
210055628466,2022,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),537.3,475.0,436.6,403.9,600.0,490.56
210055353289,2022,Curitiba,Feminino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),693.8,741.3,630.8,864.6,840.0,754.1
210055615728,2022,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),515.0,597.2,496.6,533.3,920.0,612.42
210057360503,2022,Curitiba,Feminino,Parda,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),420.4,508.8,520.7,578.5,820.0,569.68
210055297582,2022,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),418.7,496.5,547.0,582.6,620.0,532.96
210056525242,2022,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),478.8,580.5,549.7,465.0,760.0,566.8
210057305993,2022,Curitiba,Feminino,Branca,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),526.2,600.0,616.7,588.2,740.0,614.22
210055506586,2022,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),399.8,488.5,488.0,492.2,500.0,473.7
210055392641,2022,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),443.5,410.8,435.5,440.4,580.0,462.04
210054616871,2022,Curitiba,Masculino,Parda,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),591.6,544.4,521.4,529.4,640.0,565.36
210057352968,2022,Curitiba,Feminino,Branca,Não informado (Egresso),K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),631.6,577.5,554.5,795.9,900.0,691.9
210055595935,2022,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),404.0,508.2,433.1,425.4,560.0,466.14
210055499730,2022,Curitiba,Masculino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),511.6,542.9,582.1,706.0,540.0,576.52
